JFK_ATIS_Config	JFK_AIRSPACE	LGA_AIRSPACE
ILS 22L - DEP 22R	Belmont	Coney + Belmont Extension
ILS 22s - DEP 22R	Belmont + Belmont Extension	Coney
RNAV 22L - DEP 22R	Belmont	Coney + Belmont Extension
ILS 31R VIS 31L - DEP 31L	Coney	Belmont + Belmont Extension
ILS 31s - DEP 31L	Coney	Belmont + Belmont Extension
ILS 4R - DEP 4L	None	Coney + Belmont + Belmont Extension
ILS 4s - DEP 4L	None	Coney + Belmont + Belmont Extension
ILS 13L - DEP 13R	Coney + JFK ILS 13L	Belmont + Belmont Extension
RNAV 13L - DEP 13R	Coney	Belmont + Belmont Extension
ILS 22s - DEP 22R, SW DEP 31L@KE	Coney	Belmont + Belmont Extension
ILS 4s - DEP 4L, SW DEP 31L@KE	Coney	Belmont + Belmont Extension
