ident	name	type	frequency_khz	latitude_deg	longitude_deg
1A	Williams Harbour	NDB	373	52.55889893	-55.78219986
1B	Sable Island	NDB	277	43.93059921	-60.02289963
1CD	Nanaimo	DME	111450	49.05720139	-123.8720016
1D	Charlottetown	NDB	346	52.77500153	-56.12400055
1E	Black Tickle	NDB	349	53.46670151	-55.78739929
1F	Manta	NDB	363	47.63059998	-65.74469757
1K	Zama Lake	NDB	227	59.02330017	-118.8430023
1S	North Of Sixty	NDB	350	60.31890106	-103.1289978
1T	Lloydminster	DME	110700	53.31330109	-110.0800018
1U	Masset	NDB	278	54.03170013	-132.1269989
1W	Sandy Bay	NDB	412	55.54330063	-102.276001
2A	South Indian Lake	NDB	300	56.79389954	-98.90429688
2B	Springdale	NDB	364	49.49000168	-56.18470001
2F	Bathurst	DME	114400	47.63140106	-65.74440002
2H	Lebel-sur-Quevillon	NDB	261	49.03720093	-77.02079773
2J	Grand Forks	NDB-DME	250	49.01750183	-118.4240036
2K	Camrose	NDB	405	53.03219986	-112.8130035
2K	Camrose	DME	108200	53.03279877	-112.814003
2M	Opapimiskan Lake	NDB	393	52.60309982	-90.37439728
2Q	Mont-Laurier	NDB	373	46.60250092	-75.47059631
2S	High Prairie	NDB-DME	406	55.39559937	-116.4840012
2T	Pokemouche	NDB	329	47.71500015	-64.88580322
2U	Mackenzie Bc	NDB-DME	284	55.30360031	-123.137001
2Z	Diavik	NDB	382	64.51000214	-110.3069992
2Z	Diavik	DME	111250	64.50830078	-110.3069992
3D	Cumberland House	NDB	398	53.9571991	-102.2969971
3F	Ile-A-La-Crosse	NDB	384	55.48389816	-107.9309998
3H	Consort	NDB	276	52.02280045	-110.7460022
3I	Mobil Sierra	NDB	397	58.7983017	-121.3450012
3M	Drayton Valley Industrial	NDB-DME	385	53.26639938	-114.9550018
3N	Weyburn	NDB	298	49.69639969	-103.8040009
3P	Muddy Lake	NDB	242	58.23690033	-132.1959991
3R	Postville	NDB	366	54.90750122	-59.7969017
3X	Cluff Lake	NDB	243	58.36029816	-109.5250015
3Y	Donnelly	NDB-DME	234	55.71060181	-117.0999985
3Z	Russell	NDB	263	50.7641983	-101.2959976
3Z	Taber	NDB-DME	388	49.82580185	-112.1780014
4A	Koala	NDB-DME	350	64.69809723	-110.6090012
4B	Little Grand Rapids	NDB	280	52.0442009	-95.4618988
4D	Helmet	NDB	364	59.42139816	-120.7890015
4G	Cross Lake	NDB	353	54.6108017	-97.7664032
4H	Points North Landing	NDB	368	58.26919937	-104.0800018
4J	Knee Lake	NDB	314	54.88330078	-94.80000305
4K	St Theresa Point	NDB	362	53.84500122	-94.84940338
4L	Chatham	NDB	236	42.31230164	-82.07769775
4M	Red Sucker Lake	NDB	399	54.16889954	-93.5632019
4N	Oxford House	NDB	386	54.92860031	-95.28250122
4O	Swan Hills	NDB	251	54.67499924	-115.4240036
4Q	Brochet	NDB	347	57.88610077	-101.677002
4T	Shamattawa	NDB	280	55.85929871	-92.08599854
4V	Lac Brochet	NDB	371	58.61830139	-101.4700012
4W	Kelsey	NDB	391	56.03749847	-96.51280212
4X	Lac Du Bonnet	NDB	386	50.29029846	-96.0141983
4Y	Key Lake	NDB	376	57.25419998	-105.6220016
5B	Summerside	NDB	254	46.39690018	-63.88169861
5F	Fox Creek	NDB-DME	353	54.37939835	-116.7600021
5J	Coronation	NDB	328	52.07440186	-111.447998
5L	Donaldson	NDB	233	61.66469955	-73.29190063
5M	Sparwood	NDB	200	49.83720016	-114.8840027
5O	Gods River	NDB	350	54.84189987	-94.06909943
5Q	Fontanges	NDB	239	54.56000137	-71.1710968
5U	Fort Vermilion	NDB-DME	261	58.40250015	-115.9509964
5V	Drumheller	NDB-DME	395	51.50249863	-112.7509995
5W	Leaf Rapids	NDB	226	56.51169968	-99.98390198
5Y	Trenton	NDB	361	45.61180115	-62.62509918
6E	Grand Manan	NDB	387	44.71559906	-66.80220032
6F	Port Hope Simpson	NDB	367	52.52030182	-56.29520035
6G	Red Deer	DME	111600	52.18119812	-113.8830032
6K	Vernon Bc	NDB	302	50.34999847	-119.2600021
6M	Belleville	NDB	283	44.19499969	-77.3082962
6Q	Cigar Lake	NDB	222	58.06969833	-104.5390015
6X	York Landing	NDB	339	56.0882988	-96.09690094
6Z	La Loche	NDB	410	56.47829819	-109.401001
7B	St Thomas	NDB	375	42.77090073	-81.10569763
7C	Fogo	NDB	237	49.66159821	-54.24509811
7D	Hudson Bay	NDB	337	52.84780121	-102.1869965
7F	Collins Bay	NDB	400	58.22829819	-103.6829987
7H	Marystown	NDB	234	47.13830185	-55.32500076
7J	Forestburg	NDB	261	52.57640076	-112.0859985
7L	La Sarre	NDB	405	48.91059875	-79.17890167
7P	Iroquois Falls	NDB	382	48.70840073	-80.73590088
7V	Jasper-Hinton	NDB	233	53.32109833	-117.7549973
8A	Carlyle	NDB	310	49.64559937	-102.2809982
8C	Fairview	NDB-DME	295	56.07559967	-118.4410019
8F	Debert	NDB	239	45.42200089	-63.45959854
8G	Stettler	NDB-DME	286	52.30830002	-112.7539978
8H	St Paul	NDB	375	53.9919014	-111.3909988
8J	Provost	NDB	208	52.33280182	-110.2730026
8J	Provost	DME	109000	52.33359909	-110.2730026
8K	Valleyview	NDB	229	55.03440094	-117.2890015
8M	Elk Point	NDB-DME	414	53.89030075	-110.7679977
8N	Edson	NDB-DME	393	53.5807991	-116.4550018
9A	Hanna	NDB	221	51.62779999	-111.901001
9G	Sundre	NDB	405	51.77999878	-114.6829987
9H	La Grande 3	NDB	235	53.57379913	-76.20079803
9Q	Amos	NDB	291	48.55759811	-78.24310303
9S	Powell River Bc	DME	109300	49.83560181	-124.4990005
9X	Brooks	NDB-DME	227	50.63219833	-111.9219971
9Y	Pincher Creek	NDB	311	49.52330017	-113.9990005
9Z	Westlock	NDB-DME	236	54.14310074	-113.7480011
A	Baku/Bina	NDB	113	40.44499969	50.06330109
A	Ministro Pistarini	NDB	237	-34.84159851	-58.5223999
A	Reconquista	NDB	242	-29.21100044	-59.70759964
A	Tartagal	NDB	415	-22.6359005	-63.79570007
A	Habana	NDB	339	22.97380066	-82.43219757
A	Almaza	NDB	490	30.0739994	31.3593998
A	Budapest	NDB	343	47.45500183	19.21050072
A	Opera	NDB	422	47.1067009	20.22669983
A	Almaty	NDB	763	43.36859894	77.07389832
A	Baneasa East	NDB	434	44.51029968	26.13689995
A	Sheremetyevo	NDB	338	55.97999954	37.46170044
A	Kharkiv	NDB	678	49.92430115	36.31969833
A	Zaporizhzhia	NDB	608	47.84700012	35.30279922
A1	Taltheilei Narrows	NDB	264	62.59469986	-111.5189972
A5	Chinchaga	NDB	317	57.54499817	-119.1110001
A9	Liverpool	NDB	330	44.22700119	-64.85849762
AA	Auckland	VOR-DME	114800	-37.00460052	174.8139954
AA	Anaa	NDB	333	-17.35560036	-145.4819946
AA	Accra	NDB	409	5.676169872	-0.1380330026
AA	Aasiaat	NDB	336	68.72319794	-52.78480148
AA	Atambua	NDB	300	-9.074440002	124.9049988
AA	Aliabad	NDB	397	35.63370132	51.4178009
AA	Abemama	NDB	396	0.5	173.8500061
AA	Aioun El Atrouss	NDB	310	16.69210052	-9.600379944
AA	Madrid	NDB	355	40.44820023	-3.538810015
AA	Kenie	NDB	365	47.00930023	-96.81520081
AA	Cedar	NDB	341	33.53300095	-82.61440277
AAA	Abraham	NDB	329	40.16009903	-89.33779907
AAE	Ahmedabad	VOR-DME	113100	23.07220078	72.625
AAF	Apalachicola	NDB	349	29.72330093	-85.02809906
AAL	Aalborg	TACAN	116700	57.10390091	9.992810249
AAL	Aalborg	VOR-DME	116700	57.10369873	9.99557972
AAQ	Araraquara	NDB	205	-21.81299973	-48.13949966
AAR	Arar	VORTAC	113300	30.90800095	41.14220047
AAR	Amritsar	VOR-DME	115500	31.70689964	74.80079651
AAT	Agartala	VOR-DME	116100	23.88960075	91.23970032
AAU	Aurangabad	VOR-DME	116300	19.86470032	75.39409637
AAU	Ashland	NDB	329	40.9632988	-82.25340271
AB	Addis Abeba	NDB	333	8.997369766	38.82020187
