Origin	Destination	Route	Type	Aircraft	Nav	Altitude
KLGA	KJFK	WRENN PUGGS CCC DPK	TEC		RNAV	5000
KLGA	KJFK	BDR CCC DPK	TEC		NON-RNAV	5000
KLGA	KEWR	ESJAY V623 SAX	TEC			5000
KLGA	KPHL	JFK V16 DIXIE V16 VCN V184 OOD	TEC	JET		8000
KLGA	KPHL	SAX V249 SBJ V30 ETX V29 PTW		PROP		8000
KLGA	KPHL	JFK V16 DIXIE V16 VCN V184 OOD	TEC	PROP		6000
KLGA	KPHL	JFK T224 JIIMS	TEC			8000
KLGA	KTEB	ESJAY V623 SAX	TEC			5000
KLGA	KCDW	ESJAY V623 SAX	TEC			5000
KLGA	KMMU	ESJAY V623 SAX	TEC			5000
KLGA	KHPN	CMK				3000
KLGA	KFRG	WRENN PUGGS CCC DPK	TEC		RNAV	5000
KLGA	KFRG	BDR CCC DPK	TEC		NON-RNAV	5000
KLGA	KISP	BDR CCC	L			5000
KLGA	KPOU	RADAR VECTORS	L			4000
KLGA	KSWF	RADAR VECTORS	L			4000
KLGA	KBDL	BDR BDL	TEC			10000
KLGA	KALB	BDR V487 CANAN 	L			11000-15000
KLGA	KBGM	HAAYS HUO V252 CFB 	L			9000-17000
KLGA	KBGM	NEION Q232 CORDS CFB	H	JET		
KLGA	KSYR	GAYEL CFB  T335 CORTA 	L	250 KNOTS		9000-17000
KLGA	KSYR	HAAYS HUO V252 CFB  T335 CORTA	L	LESS THAN 250 KNOTS		9000-17000
KLGA	KSYR	COATE Q346 LAAYK CFB T335 CORTA	H	PROP		
KLGA	KSYR	NEION Q232 CORDS CFB T335 CORTA	H			
KLGA	KROC	HAAYS HUO V252 GIBBE 	L			9000-17000
KLGA	KROC	COATE Q436 LAAYK CFB V252 GIBBE	H	PROP		
KLGA	KROC	NEION Q232 STUBN GIBBE	H			
KLGA	KRDG	SAX V249 SBJ T430 ETX V39 FLOAT	TEC			7000
KLGA	KABE	SAX V249 SBJ V30 ETX	TEC			8000
KLGA	KDXR	CMK				3000
KLGA	KHVN	BDR	TEC			5000
KLGA	KBDR	BDR	TEC			5000
KLGA	KOXC	BDR	TEC			5000
KLGA	KFOK	BDR CCC	L			5000
KLGA	KJPX	BDR CCC	TEC			5000
KLGA	KELM	COATE T218 LAAYK STUBN	L			9000-17000
KLGA	KITH	NEION Q232 CORDS CFB	H	JET		
KLGA	KCXY	SAX V249 SBJ T430 ETX V162 HAR	TEC			8000
KLGA	KCXY	ELIOT V39 ETX T299 HWANG	L			11000-17000
KLGA	KCXY	LANNA T430 ETX V162 HWANG	L			9000-10000
KLGA	KLNS	SAX V249 SBJ T430 ETX V162 DUMMR T295 LRP	TEC	PROPS ONLY		7000
KLGA	KAVP	COATE T218 TALLI LVZ	L			9000-17000
KLGA	KCLE	NEWEL J60 PSB UPPRR TRYBE#	H			
KLGA	KDTW	GAYEL J95 CFB TRAAD JACCI WNGNT#	H		DME/GPS RQRD	
KLGA	KDTW	GAYEL J95 CFB TRAAD JACCI FERRL#	H		DME/GPS RQRD	
KLGA	KPIT	ELIOT V39 ETX T430 PSB HAYNZ#	L			14000-17000
KLGA	KPIT	ZIMMZ Q42 MIKYG Q480 VINSE DEMME#	H		RNAV	
KLGA	KPIT	LANNA T430 PSB HAYNZ#	L			9000-10000
KLGA	KBOS	MERIT ROBUC#		JET	RNAV	11000-21000
KLGA	KBOS	MERIT ORW WOONS#		PROP		11000-21000
KLGA	KPVD	BAYYS SEALL V188 GON V374 MINNK	L			11000-13000
KLGA	KPVD	BDR CARLD V188 GON	TEC			9000
KLGA	KBGR	GREKI V419 JUDDS CAM	L			13000
KLGA	KACK	BDR MAD CARLD V188 GON T216 NEWBE T300 DEEPO	TEC			10000
KLGA	KACK	BAYYS SEALL V188 GON DEEPO#	L	JET		11000-17000
KLGA	KACK	BAYYS SEALL V188 GON DEEPO#	H	JET		18000-23000
KLGA	KDCA	BIGGY V3 MXE V378 BAL			NON-RNAV	9000-17000
KLGA	KDCA	BIGGY Q75 MXE CLIPR#			RNAV	18000-22000
KLGA	KIAD	PARKE HYPER#			RNAV	18000-22000
KLGA	KIAD	PARKE V457 LRP DELRO#			NON-RNAV	18000-22000
KLGA	KBWI	BIGGY Q75 MXE V378 NUGGY TRISH#		JET		18000-22000
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
